+-----------------------+-----------+------------------+-----------+------------+
| staff_name            | staff_age | staff_experience | role      | day        |
+-----------------------+-----------+------------------+-----------+------------+
| Caleb Adams           |        40 |                1 | security  | 2025-04-13 |
| Caleb Bennett         |        46 |                5 | technical | 2025-04-13 |
| Leo Hale              |        44 |                2 | helper    | 2025-04-13 |
| Eli Griffin           |        32 |                5 | security  | 2025-04-13 |
| Liam Green            |        43 |                5 | security  | 2025-04-13 |
| Leo King              |        49 |                2 | security  | 2025-04-13 |
| Valeria Thompson      |        25 |                4 | security  | 2025-04-13 |
| Benjamin Wilson       |        25 |                5 | security  | 2025-04-13 |
| Amanda Hall           |        39 |                2 | helper    | 2025-04-13 |
| Delaney Green         |        29 |                4 | security  | 2025-04-13 |
| Faith Davis           |        43 |                3 | helper    | 2025-04-13 |
| Camila Moreno         |        40 |                4 | security  | 2025-04-13 |
| Preston Martinez      |        47 |                1 | technical | 2025-04-13 |
| Stephanie Smith       |        41 |                3 | security  | 2025-04-13 |
| Stephanie Hanson      |        33 |                1 | helper    | 2025-04-13 |
| Emma Jenkins          |        46 |                4 | technical | 2025-04-13 |
| Brooklyn Campbell     |        35 |                3 | security  | 2025-04-13 |
| Justin Ray            |        41 |                4 | helper    | 2025-04-13 |
| James Ford            |        43 |                1 | helper    | 2025-04-13 |
| Isabel Moreno         |        47 |                5 | security  | 2025-04-13 |
| Emily Young           |        32 |                5 | technical | 2025-04-13 |
| Cole Roberts          |        25 |                3 | security  | 2025-04-13 |
| Isabel Griffin        |        31 |                5 | technical | 2025-04-13 |
| Ariana Richards       |        35 |                4 | security  | 2025-04-13 |
| Sarah Hale            |        25 |                3 | helper    | 2025-04-13 |
| Liam Hamilton         |        25 |                5 | security  | 2026-11-02 |
| Benjamin Harris       |        28 |                3 | security  | 2026-11-02 |
| Matthew Douglas       |        48 |                5 | helper    | 2026-11-02 |
| Nicole Lawson         |        26 |                3 | security  | 2026-11-02 |
| Eli Olson             |        39 |                5 | technical | 2026-11-02 |
| Leo Mitchell          |        34 |                4 | technical | 2026-11-02 |
| Matthew Hale          |        41 |                3 | security  | 2026-11-02 |
| Andrew Martinez       |        31 |                5 | security  | 2026-11-02 |
| William Bennett       |        28 |                1 | helper    | 2026-11-02 |
| David Hayes           |        42 |                1 | technical | 2026-11-02 |
| Ava Moreno            |        25 |                3 | security  | 2026-11-02 |
| Cole Smith            |        37 |                5 | helper    | 2026-11-02 |
| Caleb Harris          |        49 |                3 | helper    | 2026-11-02 |
| Noah Richards         |        41 |                5 | helper    | 2026-11-02 |
| Valeria Turner        |        42 |                4 | security  | 2026-11-02 |
| Eli Diaz              |        47 |                5 | technical | 2026-11-02 |
| David Wilson          |        49 |                1 | security  | 2026-11-02 |
| Megan Ellis           |        43 |                3 | security  | 2026-11-02 |
| Nathan Brewer         |        27 |                5 | security  | 2026-11-02 |
| Justin Smith          |        39 |                2 | security  | 2026-11-02 |
| Daniel Nelson         |        36 |                5 | helper    | 2026-11-02 |
| Charlotte Wright      |        31 |                5 | security  | 2026-11-02 |
| Jocelyn Green         |        32 |                1 | helper    | 2026-11-02 |
| Naomi Hamilton        |        37 |                3 | security  | 2026-11-02 |
| Noah Roberts          |        48 |                3 | technical | 2026-11-02 |
| Kylie Diaz            |        27 |                4 | helper    | 2028-07-19 |
| Leo Ellis             |        25 |                5 | security  | 2028-07-19 |
| Daniel Armstrong      |        32 |                1 | helper    | 2028-07-19 |
| Isabel Ellis          |        38 |                3 | security  | 2028-07-19 |
| David Andrews         |        43 |                1 | security  | 2028-07-19 |
| Delaney Johnson       |        27 |                3 | helper    | 2028-07-19 |
| Benjamin Nelson       |        32 |                2 | technical | 2028-07-19 |
| Kevin Lawson          |        35 |                1 | security  | 2028-07-19 |
| Benjamin Armstrong    |        44 |                5 | helper    | 2028-07-19 |
| Vivian Lewis          |        39 |                2 | technical | 2028-07-19 |
| James Brewer          |        36 |                5 | helper    | 2028-07-19 |
| Nicole Smith          |        28 |                2 | security  | 2028-07-19 |
| Sarah Martinez        |        43 |                4 | helper    | 2028-07-19 |
| Christopher Armstrong |        25 |                5 | security  | 2028-07-19 |
| Jocelyn Lee           |        26 |                5 | security  | 2028-07-19 |
| Naomi Lawson          |        30 |                2 | security  | 2028-07-19 |
| Lucas Sullivan        |        32 |                5 | security  | 2028-07-19 |
| Caleb Hale            |        40 |                5 | technical | 2028-07-19 |
| Emily Hamilton        |        33 |                3 | technical | 2028-07-19 |
| Megan Allen           |        44 |                2 | technical | 2028-07-19 |
| Michael Young         |        37 |                5 | security  | 2028-07-19 |
| Brady Diaz            |        29 |                5 | helper    | 2028-07-19 |
| Bryce Hayes           |        50 |                4 | security  | 2028-07-19 |
| Valeria Clark         |        28 |                2 | security  | 2028-07-19 |
| Justin Andrews        |        37 |                1 | security  | 2028-07-19 |
| Stephanie Douglas     |        48 |                3 | security  | 2025-01-26 |
| David Martinez        |        28 |                1 | technical | 2025-01-26 |
| Ava Lewis             |        37 |                3 | technical | 2025-01-26 |
| Andrew Wright         |        31 |                4 | security  | 2025-01-26 |
| Justin Powell         |        27 |                5 | security  | 2025-01-26 |
| Valeria Campbell      |        34 |                1 | helper    | 2025-01-26 |
| Lauren Baker          |        42 |                1 | security  | 2025-01-26 |
| Michael Hayes         |        31 |                5 | helper    | 2025-01-26 |
| Delaney Mitchell      |        31 |                4 | technical | 2025-01-26 |
| Mia Campbell          |        25 |                2 | security  | 2025-01-26 |
| Kylie Lewis           |        44 |                1 | security  | 2025-01-26 |
| Mia Smith             |        30 |                3 | security  | 2025-01-26 |
| Anthony Spencer       |        31 |                2 | security  | 2025-01-26 |
| Megan Cole            |        25 |                4 | helper    | 2025-01-26 |
| Max Hanson            |        41 |                2 | helper    | 2025-01-26 |
| Joshua Jenkins        |        33 |                4 | helper    | 2025-01-26 |
| Sophia Hall           |        49 |                4 | helper    | 2025-01-26 |
| Matthew Hall          |        37 |                2 | security  | 2025-01-26 |
| David Hanson          |        37 |                1 | technical | 2025-01-26 |
| Nicole Turner         |        41 |                3 | security  | 2025-01-26 |
| Preston Richards      |        29 |                5 | security  | 2025-01-26 |
| Brittany Lee          |        45 |                2 | helper    | 2025-01-26 |
| Isabella Hunt         |        38 |                3 | security  | 2025-01-26 |
| Nathan Moreno         |        31 |                1 | technical | 2025-01-26 |
| Rachel Reed           |        48 |                5 | security  | 2025-01-26 |
| Emma Russell          |        45 |                3 | security  | 2025-03-08 |
| Ariana Spencer        |        31 |                4 | technical | 2025-03-08 |
| Nathan West           |        29 |                5 | security  | 2025-03-08 |
| William Mitchell      |        46 |                5 | helper    | 2025-03-08 |
| Matthew Allen         |        40 |                1 | helper    | 2025-03-08 |
| Vivian Nelson         |        36 |                5 | security  | 2025-03-08 |
| Matthew Crawford      |        35 |                5 | security  | 2025-03-08 |
| Megan Lawson          |        48 |                4 | security  | 2025-03-08 |
| Isabella Barrett      |        50 |                2 | security  | 2025-03-08 |
| Vivian Douglas        |        42 |                2 | security  | 2025-03-08 |
| Preston Spencer       |        33 |                1 | technical | 2025-03-08 |
| Stephanie Ellis       |        30 |                5 | helper    | 2025-03-08 |
| Naomi Mitchell        |        30 |                2 | security  | 2025-03-08 |
| Cole Cole             |        27 |                2 | security  | 2025-03-08 |
| Delaney Ford          |        27 |                5 | security  | 2025-03-08 |
| Preston Barrett       |        25 |                1 | security  | 2025-03-08 |
| Lauren Johnson        |        43 |                2 | helper    | 2025-03-08 |
| Emma Myers            |        39 |                3 | security  | 2025-03-08 |
| Emma Armstrong        |        29 |                5 | helper    | 2025-03-08 |
| Luna Diaz             |        34 |                2 | technical | 2025-03-08 |
| Miles Harris          |        42 |                4 | helper    | 2025-03-08 |
| Christopher King      |        33 |                2 | technical | 2025-03-08 |
| John Harris           |        36 |                2 | security  | 2025-03-08 |
| Rachel Scott          |        34 |                2 | helper    | 2025-03-08 |
| Michael Sullivan      |        33 |                1 | technical | 2025-03-08 |
| Mia Wright            |        27 |                2 | security  | 2026-10-21 |
| Jude Griffin          |        41 |                5 | helper    | 2026-10-21 |
| James Myers           |        31 |                3 | helper    | 2026-10-21 |
| Christopher Sullivan  |        49 |                5 | security  | 2026-10-21 |
| Delaney Harris        |        25 |                4 | technical | 2026-10-21 |
| Naomi Stevens         |        42 |                2 | security  | 2026-10-21 |
| Noah Campbell         |        25 |                1 | security  | 2026-10-21 |
| Jessica Stevens       |        34 |                2 | security  | 2026-10-21 |
| Joshua Diaz           |        27 |                1 | security  | 2026-10-21 |
| Megan Brewer          |        30 |                1 | helper    | 2026-10-21 |
| Brandon Hamilton      |        43 |                3 | technical | 2026-10-21 |
| Justin Griffin        |        44 |                4 | security  | 2026-10-21 |
| Kylie Myers           |        49 |                3 | security  | 2026-10-21 |
| Camila Turner         |        37 |                1 | technical | 2026-10-21 |
| Bryce Clark           |        45 |                3 | technical | 2026-10-21 |
| Nathan Johnson        |        41 |                2 | helper    | 2026-10-21 |
| Mia Hamilton          |        34 |                4 | security  | 2026-10-21 |
| Benjamin Hanson       |        31 |                1 | security  | 2026-10-21 |
| Brady Andrews         |        43 |                5 | helper    | 2026-10-21 |
| Megan Harris          |        32 |                2 | helper    | 2026-10-21 |
| Jude Lee              |        41 |                1 | technical | 2026-10-21 |
| Ava Lee               |        31 |                1 | security  | 2026-10-21 |
| Andrew Cole           |        44 |                3 | helper    | 2026-10-21 |
| Ashley Russell        |        42 |                5 | security  | 2026-10-21 |
| David Barrett         |        29 |                1 | security  | 2026-10-21 |
| Benjamin Richards     |        49 |                1 | security  | 2027-06-15 |
| Liam Lewis            |        37 |                3 | helper    | 2027-06-15 |
| Mia Richards          |        48 |                3 | helper    | 2027-06-15 |
| Rachel Johnson        |        48 |                5 | security  | 2027-06-15 |
| Brooklyn Young        |        36 |                4 | security  | 2027-06-15 |
| Olivia Cole           |        36 |                5 | helper    | 2027-06-15 |
| David Stevens         |        30 |                4 | technical | 2027-06-15 |
