+----------------------+----------+---------------+-------------------------------+-------------+
| name                 | nickname | date_of_birth | social_media                  | appearances |
+----------------------+----------+---------------+-------------------------------+-------------+
| George Turner        | Geo      | 1980-11-17    | Facebook: GeoBlackMetal       |           2 |
| Lance Higgins MD     | Emily    | 1987-07-17    | Instagram: @ishepard          |           2 |
| Jessica Hurst        | Heath    | 1966-03-07    | Twitter: @ahoward             |           2 |
| Michael Taylor       | T-Money  | 1992-03-12    | Facebook: TMoneyOfficial      |           2 |
| Joseph Henry         | NULL     | 1982-11-20    | Facebook: @hunterdaniel       |           2 |
| Kristen White        | Megha    | 1988-11-19    | Twitter: @nicholas25          |           2 |
| David Walsh          | Brend    | 1998-05-15    | NULL                          |           2 |
| Noah Walker          | Noe      | 1987-07-04    | Facebook: NoeJazz             |           2 |
| Jack Evans           | NULL     | 1982-04-02    | Instagram: @JackEvansJazz     |           2 |
| Kimberly Gutierrez   | NULL     | 2003-04-01    | Twitter: @opeterson           |           2 |
| Sophie Thompson      | NULL     | 1992-07-21    | Instagram: @SophiePop         |           2 |
| Rachel Green         | NULL     | 1995-06-14    | Instagram: @RachelSoul        |           2 |
| Ethan Harris         | NULL     | 1994-03-22    | Instagram: @EthanPop          |           2 |
| James Thompson       | JT       | 1987-11-28    | Twitter: @JTMetalhead         |           2 |
| Lucas Harris         | Luke     | 1988-02-16    | Twitter: @Lucas_RB            |           2 |
| Christopher Wilson   | Russe    | 2003-11-11    | NULL                          |           2 |
| Jesse White          | Chery    | 1980-06-19    | Twitter: @sloanwilliam        |           2 |
| Emma Green           | Em       | 1990-06-22    | Facebook: EmGreenRNB          |           2 |
| Charlotte Harris     | NULL     | 1998-07-09    | Instagram: @CharlotteBlues    |           2 |
| Lisa Moon            | Jason    | 1984-04-18    | Facebook: @kirkgonzalez       |           2 |
| Daniel Moore         | Danny    | 1988-11-07    | Twitter: @DannyGrunge         |           2 |
| Christopher Martinez | NULL     | 1977-01-29    | Instagram: @kirktiffany       |           2 |
| Mario Carlson        | Bryan    | 1978-07-06    | Instagram: @holmesrhonda      |           2 |
| James Davis          | NULL     | 1985-11-25    | Twitter: @callahanrachel      |           2 |
| David Anderson       | Davy     | 1980-01-03    | Facebook: DavyMetal           |           2 |
| Grace Carter         | Gracie   | 1990-04-14    | Instagram: @GracieSoul        |           2 |
| Joseph Hernandez     | Rhond    | 1981-12-19    | Facebook: @qthompson          |           2 |
| Ethan Davies         | NULL     | 1974-09-24    | Twitter: @taylordon           |           2 |
